platform,account_id,content_type,publish_time,views,impressions,likes,comments,shares,favorites,followers,source_type
WECHAT_OFFICIAL,demo-wechat_official,OPINION,2026-05-31 07:00,3780,4514,67,10,6,14,22800,ACCOUNT_HISTORY
WECHAT_OFFICIAL,demo-wechat_official,LIFESTYLE,2026-06-01 10:30,3861,4495,64,9,5,16,22800,ACCOUNT_HISTORY
WECHAT_OFFICIAL,demo-wechat_official,TUTORIAL,2026-06-03 16:00,6602,9180,102,12,10,18,22800,ACCOUNT_HISTORY
WECHAT_OFFICIAL,demo-wechat_official,KNOWLEDGE,2026-06-05 02:00,1466,1699,8,1,0,2,22800,ACCOUNT_HISTORY
WECHAT_OFFICIAL,demo-wechat_official,KNOWLEDGE,2026-06-06 02:30,1425,1543,2,0,0,0,22800,ACCOUNT_HISTORY
WECHAT_OFFICIAL,demo-wechat_official,NEWS,2026-06-08 09:30,4069,5515,31,4,2,13,22800,ACCOUNT_HISTORY
WECHAT_OFFICIAL,demo-wechat_official,LIFESTYLE,2026-06-11 08:30,6415,7488,110,11,7,32,22800,ACCOUNT_HISTORY
WECHAT_OFFICIAL,demo-wechat_official,OPINION,2026-06-12 02:30,970,1298,4,0,0,1,22800,ACCOUNT_HISTORY
WECHAT_OFFICIAL,demo-wechat_official,NEWS,2026-06-14 05:30,1456,1980,5,0,0,1,22800,ACCOUNT_HISTORY
WECHAT_OFFICIAL,demo-wechat_official,NEWS,2026-06-15 09:00,3309,3761,43,4,4,10,22800,ACCOUNT_HISTORY
WECHAT_OFFICIAL,demo-wechat_official,NEWS,2026-06-16 02:30,1346,1524,7,1,0,1,22800,ACCOUNT_HISTORY
WECHAT_OFFICIAL,demo-wechat_official,TUTORIAL,2026-06-18 07:30,5323,6665,173,29,7,69,22800,ACCOUNT_HISTORY
WECHAT_OFFICIAL,demo-wechat_official,NEWS,2026-06-19 14:00,3325,4028,38,6,4,10,22800,ACCOUNT_HISTORY
WECHAT_OFFICIAL,demo-wechat_official,OPINION,2026-06-23 20:30,6534,8501,109,8,13,31,22800,ACCOUNT_HISTORY
WECHAT_OFFICIAL,demo-wechat_official,NEWS,2026-06-26 08:00,4825,5749,91,11,9,39,22800,ACCOUNT_HISTORY
WECHAT_OFFICIAL,demo-wechat_official,LIFESTYLE,2026-06-27 07:00,3638,4751,90,10,7,19,22800,ACCOUNT_HISTORY
WECHAT_OFFICIAL,demo-wechat_official,KNOWLEDGE,2026-06-28 02:30,661,821,2,0,0,0,22800,ACCOUNT_HISTORY
WECHAT_OFFICIAL,demo-wechat_official,TUTORIAL,2026-06-29 02:00,1052,1424,4,0,0,1,22800,ACCOUNT_HISTORY
WECHAT_OFFICIAL,demo-wechat_official,TUTORIAL,2026-06-29 05:30,1777,1994,8,0,0,3,22800,ACCOUNT_HISTORY
WECHAT_OFFICIAL,demo-wechat_official,KNOWLEDGE,2026-07-02 12:30,5417,6378,90,13,9,16,22800,ACCOUNT_HISTORY
WECHAT_OFFICIAL,demo-wechat_official,OPINION,2026-07-03 14:00,4792,5890,63,10,2,18,22800,ACCOUNT_HISTORY
WECHAT_OFFICIAL,demo-wechat_official,KNOWLEDGE,2026-07-08 08:30,8960,10853,215,21,28,47,22800,ACCOUNT_HISTORY
WECHAT_OFFICIAL,demo-wechat_official,KNOWLEDGE,2026-07-08 09:30,3634,4171,27,2,3,10,22800,ACCOUNT_HISTORY
WECHAT_OFFICIAL,demo-wechat_official,TUTORIAL,2026-07-10 09:30,4953,6674,68,8,6,19,22800,ACCOUNT_HISTORY
WECHAT_OFFICIAL,demo-wechat_official,NEWS,2026-07-11 02:30,1517,1686,3,0,0,1,22800,ACCOUNT_HISTORY
WECHAT_OFFICIAL,demo-wechat_official,NEWS,2026-07-14 08:30,10441,10999,348,36,44,147,22800,ACCOUNT_HISTORY
WECHAT_OFFICIAL,demo-wechat_official,NEWS,2026-07-14 23:30,2846,3762,42,4,1,17,22800,ACCOUNT_HISTORY
WECHAT_OFFICIAL,demo-wechat_official,LIFESTYLE,2026-07-17 07:30,8988,12124,179,17,13,60,22800,ACCOUNT_HISTORY
WECHAT_OFFICIAL,demo-wechat_official,TUTORIAL,2026-07-18 05:30,870,1209,3,0,0,1,22800,ACCOUNT_HISTORY
WECHAT_OFFICIAL,demo-wechat_official,KNOWLEDGE,2026-07-20 16:00,4434,5209,57,9,7,25,22800,ACCOUNT_HISTORY
WECHAT_OFFICIAL,demo-wechat_official,OPINION,2026-07-20 23:30,5101,6038,54,6,2,23,22800,ACCOUNT_HISTORY
WECHAT_OFFICIAL,demo-wechat_official,NEWS,2026-07-25 09:30,4596,5318,33,4,3,14,22800,ACCOUNT_HISTORY
WECHAT_OFFICIAL,demo-wechat_official,LIFESTYLE,2026-07-25 12:00,7292,9696,95,11,5,29,22800,ACCOUNT_HISTORY
WECHAT_OFFICIAL,demo-wechat_official,KNOWLEDGE,2026-07-27 07:00,6379,7292,148,12,7,65,22800,ACCOUNT_HISTORY
WECHAT_OFFICIAL,demo-wechat_official,KNOWLEDGE,2026-07-28 15:00,3979,4418,71,4,9,22,22800,ACCOUNT_HISTORY
WECHAT_OFFICIAL,demo-wechat_official,LIFESTYLE,2026-07-29 23:00,3810,4897,66,5,3,19,22800,ACCOUNT_HISTORY
WECHAT_OFFICIAL,demo-wechat_official,OPINION,2026-08-01 20:00,5362,6962,50,8,2,7,22800,ACCOUNT_HISTORY
WEIBO,demo-weibo,OPINION,2026-04-13 16:00,8691,9828,56,4,7,24,48000,ACCOUNT_HISTORY
WEIBO,demo-weibo,OPINION,2026-04-18 12:30,13740,17620,155,22,15,26,48000,ACCOUNT_HISTORY
WEIBO,demo-weibo,TUTORIAL,2026-04-19 05:30,1514,1696,5,0,0,2,48000,ACCOUNT_HISTORY
WEIBO,demo-weibo,LIFESTYLE,2026-04-19 20:00,14797,15866,201,27,21,72,48000,ACCOUNT_HISTORY
WEIBO,demo-weibo,TUTORIAL,2026-04-21 18:00,19118,24470,327,26,19,100,48000,ACCOUNT_HISTORY
WEIBO,demo-weibo,LIFESTYLE,2026-04-23 14:00,8372,10010,56,3,4,20,48000,ACCOUNT_HISTORY
WEIBO,demo-weibo,KNOWLEDGE,2026-04-24 12:30,18418,22408,357,58,48,106,48000,ACCOUNT_HISTORY
WEIBO,demo-weibo,KNOWLEDGE,2026-04-24 23:00,7029,7561,51,6,4,19,48000,ACCOUNT_HISTORY
WEIBO,demo-weibo,KNOWLEDGE,2026-04-27 15:00,10083,11858,68,7,7,24,48000,ACCOUNT_HISTORY
WEIBO,demo-weibo,NEWS,2026-04-30 10:30,10688,13136,119,19,6,26,48000,ACCOUNT_HISTORY
WEIBO,demo-weibo,NEWS,2026-05-03 02:00,2430,3383,7,1,0,2,48000,ACCOUNT_HISTORY
WEIBO,demo-weibo,TUTORIAL,2026-05-03 14:30,4923,6339,34,4,3,11,48000,ACCOUNT_HISTORY
WEIBO,demo-weibo,TUTORIAL,2026-05-06 10:00,12004,16207,101,7,6,18,48000,ACCOUNT_HISTORY
WEIBO,demo-weibo,LIFESTYLE,2026-05-08 21:30,20551,27357,354,22,41,129,48000,ACCOUNT_HISTORY
WEIBO,demo-weibo,NEWS,2026-05-09 17:30,7628,8192,43,4,4,18,48000,ACCOUNT_HISTORY
WEIBO,demo-weibo,KNOWLEDGE,2026-05-10 16:00,7587,8547,103,13,10,38,48000,ACCOUNT_HISTORY
WEIBO,demo-weibo,OPINION,2026-05-11 09:00,6796,9440,105,12,5,18,48000,ACCOUNT_HISTORY
WEIBO,demo-weibo,OPINION,2026-05-11 17:30,8360,9158,141,21,10,59,48000,ACCOUNT_HISTORY
WEIBO,demo-weibo,LIFESTYLE,2026-05-15 09:30,9369,10661,156,22,11,52,48000,ACCOUNT_HISTORY
WEIBO,demo-weibo,TUTORIAL,2026-05-16 21:30,17205,20535,264,33,12,117,48000,ACCOUNT_HISTORY
WEIBO,demo-weibo,KNOWLEDGE,2026-05-18 02:30,2055,2169,11,0,0,1,48000,ACCOUNT_HISTORY
WEIBO,demo-weibo,OPINION,2026-05-19 05:00,2256,2592,5,0,0,1,48000,ACCOUNT_HISTORY
WEIBO,demo-weibo,LIFESTYLE,2026-05-21 23:30,9408,10896,136,16,14,28,48000,ACCOUNT_HISTORY
WEIBO,demo-weibo,NEWS,2026-05-23 09:30,5757,6094,31,5,1,6,48000,ACCOUNT_HISTORY
WEIBO,demo-weibo,TUTORIAL,2026-05-25 15:30,12528,16248,72,7,3,17,48000,ACCOUNT_HISTORY
WEIBO,demo-weibo,TUTORIAL,2026-05-28 12:00,10616,13684,253,40,14,98,48000,ACCOUNT_HISTORY
WEIBO,demo-weibo,LIFESTYLE,2026-05-28 17:30,11543,16050,156,22,10,52,48000,ACCOUNT_HISTORY
WEIBO,demo-weibo,KNOWLEDGE,2026-05-30 02:00,1853,2396,5,0,0,1,48000,ACCOUNT_HISTORY
WEIBO,demo-weibo,TUTORIAL,2026-06-01 05:30,3800,4522,11,1,1,2,48000,ACCOUNT_HISTORY
WEIBO,demo-weibo,LIFESTYLE,2026-06-04 09:00,13482,18034,238,31,25,94,48000,ACCOUNT_HISTORY
WEIBO,demo-weibo,NEWS,2026-06-06 18:30,18858,21844,340,47,18,139,48000,ACCOUNT_HISTORY
WEIBO,demo-weibo,KNOWLEDGE,2026-06-07 09:00,10317,13204,67,7,5,24,48000,ACCOUNT_HISTORY
WEIBO,demo-weibo,KNOWLEDGE,2026-06-08 15:30,5319,6783,52,5,3,11,48000,ACCOUNT_HISTORY
WEIBO,demo-weibo,NEWS,2026-06-09 05:00,3551,4063,10,1,1,4,48000,ACCOUNT_HISTORY
WEIBO,demo-weibo,NEWS,2026-06-09 15:30,11382,14127,156,20,7,35,48000,ACCOUNT_HISTORY
WEIBO,demo-weibo,TUTORIAL,2026-06-13 21:30,10061,13352,90,9,7,30,48000,ACCOUNT_HISTORY
WEIBO,demo-weibo,KNOWLEDGE,2026-06-16 15:30,12957,15158,222,24,14,34,48000,ACCOUNT_HISTORY
WEIBO,demo-weibo,LIFESTYLE,2026-06-16 17:30,12666,16624,121,18,11,50,48000,ACCOUNT_HISTORY
WEIBO,demo-weibo,LIFESTYLE,2026-06-20 05:00,1393,1911,3,0,0,1,48000,ACCOUNT_HISTORY
WEIBO,demo-weibo,LIFESTYLE,2026-06-21 17:00,4233,5750,44,5,2,12,48000,ACCOUNT_HISTORY
WEIBO,demo-weibo,LIFESTYLE,2026-06-22 12:00,9955,11968,245,32,22,59,48000,ACCOUNT_HISTORY
WEIBO,demo-weibo,NEWS,2026-06-22 18:30,22666,25314,352,37,23,130,48000,ACCOUNT_HISTORY
WEIBO,demo-weibo,OPINION,2026-06-23 02:00,2758,3629,15,2,1,5,48000,ACCOUNT_HISTORY
WEIBO,demo-weibo,OPINION,2026-06-24 14:00,11119,12740,175,21,11,46,48000,ACCOUNT_HISTORY
WEIBO,demo-weibo,LIFESTYLE,2026-06-29 02:00,2750,3244,9,0,0,3,48000,ACCOUNT_HISTORY
WEIBO,demo-weibo,NEWS,2026-06-30 09:30,14455,15923,148,17,13,55,48000,ACCOUNT_HISTORY
WEIBO,demo-weibo,LIFESTYLE,2026-07-01 02:30,2595,3230,11,0,1,2,48000,ACCOUNT_HISTORY
WEIBO,demo-weibo,NEWS,2026-07-04 09:30,6056,7601,65,11,4,10,48000,ACCOUNT_HISTORY
WEIBO,demo-weibo,NEWS,2026-07-06 09:30,9157,10758,133,13,16,49,48000,ACCOUNT_HISTORY
WEIBO,demo-weibo,OPINION,2026-07-08 12:30,18669,19861,290,37,28,56,48000,ACCOUNT_HISTORY
WEIBO,demo-weibo,KNOWLEDGE,2026-07-10 09:30,11828,12747,196,28,20,34,48000,ACCOUNT_HISTORY
WEIBO,demo-weibo,LIFESTYLE,2026-07-12 23:00,6031,6973,32,5,2,5,48000,ACCOUNT_HISTORY
WEIBO,demo-weibo,KNOWLEDGE,2026-07-13 15:00,11893,13867,125,12,11,26,48000,ACCOUNT_HISTORY
WEIBO,demo-weibo,TUTORIAL,2026-07-14 21:30,11413,14403,280,42,25,43,48000,ACCOUNT_HISTORY
WEIBO,demo-weibo,NEWS,2026-07-17 09:30,5910,7458,88,5,10,15,48000,ACCOUNT_HISTORY
WEIBO,demo-weibo,KNOWLEDGE,2026-07-18 02:30,1517,2066,4,0,0,1,48000,ACCOUNT_HISTORY
WEIBO,demo-weibo,NEWS,2026-07-20 10:30,11457,13403,70,7,7,17,48000,ACCOUNT_HISTORY
WEIBO,demo-weibo,TUTORIAL,2026-07-25 18:00,14683,15933,239,17,21,86,48000,ACCOUNT_HISTORY
WEIBO,demo-weibo,NEWS,2026-07-25 23:30,5193,5637,69,5,4,18,48000,ACCOUNT_HISTORY
WEIBO,demo-weibo,LIFESTYLE,2026-07-26 18:30,18774,20596,324,51,43,125,48000,ACCOUNT_HISTORY
WEIBO,demo-weibo,OPINION,2026-07-28 02:00,3381,4450,8,0,0,1,48000,ACCOUNT_HISTORY
WEIBO,demo-weibo,TUTORIAL,2026-07-28 05:30,2621,3260,15,1,2,5,48000,ACCOUNT_HISTORY
WEIBO,demo-weibo,NEWS,2026-07-31 12:30,11076,14609,286,17,16,65,48000,ACCOUNT_HISTORY
WEIBO,demo-weibo,NEWS,2026-07-31 14:00,6793,8472,88,9,5,33,48000,ACCOUNT_HISTORY
XIAOHONGSHU,demo-xiaohongshu,LIFESTYLE,2026-04-13 12:00,7210,8250,163,23,18,70,31500,ACCOUNT_HISTORY
XIAOHONGSHU,demo-xiaohongshu,LIFESTYLE,2026-04-13 14:30,5197,6788,33,2,1,10,31500,ACCOUNT_HISTORY
XIAOHONGSHU,demo-xiaohongshu,TUTORIAL,2026-04-19 14:30,5458,7038,58,3,4,23,31500,ACCOUNT_HISTORY
XIAOHONGSHU,demo-xiaohongshu,LIFESTYLE,2026-04-19 17:30,3381,4557,38,5,2,10,31500,ACCOUNT_HISTORY
XIAOHONGSHU,demo-xiaohongshu,OPINION,2026-04-20 14:00,4724,4973,58,5,7,24,31500,ACCOUNT_HISTORY
XIAOHONGSHU,demo-xiaohongshu,OPINION,2026-04-21 19:00,9550,10659,196,26,20,84,31500,ACCOUNT_HISTORY
XIAOHONGSHU,demo-xiaohongshu,LIFESTYLE,2026-04-23 02:30,1726,1939,5,0,0,1,31500,ACCOUNT_HISTORY
XIAOHONGSHU,demo-xiaohongshu,OPINION,2026-04-26 05:00,1312,1493,5,0,0,1,31500,ACCOUNT_HISTORY
XIAOHONGSHU,demo-xiaohongshu,OPINION,2026-04-28 10:30,4426,5745,81,7,6,19,31500,ACCOUNT_HISTORY
XIAOHONGSHU,demo-xiaohongshu,LIFESTYLE,2026-04-28 20:00,14648,17987,415,69,38,178,31500,ACCOUNT_HISTORY
XIAOHONGSHU,demo-xiaohongshu,TUTORIAL,2026-04-29 05:00,1573,1889,9,0,0,2,31500,ACCOUNT_HISTORY
XIAOHONGSHU,demo-xiaohongshu,OPINION,2026-05-02 16:00,3007,3515,32,4,2,6,31500,ACCOUNT_HISTORY
XIAOHONGSHU,demo-xiaohongshu,OPINION,2026-05-06 05:30,2129,2366,11,1,1,3,31500,ACCOUNT_HISTORY
XIAOHONGSHU,demo-xiaohongshu,KNOWLEDGE,2026-05-08 16:30,7302,8257,60,9,4,14,31500,ACCOUNT_HISTORY
XIAOHONGSHU,demo-xiaohongshu,NEWS,2026-05-09 22:00,7808,9708,101,10,7,27,31500,ACCOUNT_HISTORY
XIAOHONGSHU,demo-xiaohongshu,NEWS,2026-05-10 20:30,10672,11576,263,18,31,107,31500,ACCOUNT_HISTORY
XIAOHONGSHU,demo-xiaohongshu,TUTORIAL,2026-05-15 05:00,2488,3396,11,1,0,2,31500,ACCOUNT_HISTORY
XIAOHONGSHU,demo-xiaohongshu,KNOWLEDGE,2026-05-15 12:30,6944,8175,112,14,14,31,31500,ACCOUNT_HISTORY
XIAOHONGSHU,demo-xiaohongshu,KNOWLEDGE,2026-05-17 09:30,4148,4741,35,3,2,10,31500,ACCOUNT_HISTORY
XIAOHONGSHU,demo-xiaohongshu,TUTORIAL,2026-05-17 10:30,6404,6900,40,3,5,9,31500,ACCOUNT_HISTORY
XIAOHONGSHU,demo-xiaohongshu,LIFESTYLE,2026-05-19 05:00,2766,3154,16,1,2,4,31500,ACCOUNT_HISTORY
XIAOHONGSHU,demo-xiaohongshu,KNOWLEDGE,2026-05-20 09:30,7441,8216,119,16,7,35,31500,ACCOUNT_HISTORY
XIAOHONGSHU,demo-xiaohongshu,OPINION,2026-05-21 19:30,15061,19715,481,65,30,194,31500,ACCOUNT_HISTORY
XIAOHONGSHU,demo-xiaohongshu,NEWS,2026-05-24 12:30,10303,12740,230,34,24,101,31500,ACCOUNT_HISTORY
XIAOHONGSHU,demo-xiaohongshu,NEWS,2026-05-26 10:30,4842,6284,64,7,7,21,31500,ACCOUNT_HISTORY
XIAOHONGSHU,demo-xiaohongshu,LIFESTYLE,2026-05-27 09:30,6290,8208,55,3,3,20,31500,ACCOUNT_HISTORY
XIAOHONGSHU,demo-xiaohongshu,OPINION,2026-05-27 15:30,9219,12388,174,24,10,48,31500,ACCOUNT_HISTORY
XIAOHONGSHU,demo-xiaohongshu,LIFESTYLE,2026-05-28 14:00,4772,5318,66,4,5,24,31500,ACCOUNT_HISTORY
XIAOHONGSHU,demo-xiaohongshu,LIFESTYLE,2026-06-02 10:30,7633,10489,135,12,15,20,31500,ACCOUNT_HISTORY
XIAOHONGSHU,demo-xiaohongshu,TUTORIAL,2026-06-02 21:30,14219,17735,282,37,36,107,31500,ACCOUNT_HISTORY
XIAOHONGSHU,demo-xiaohongshu,OPINION,2026-06-05 15:30,5545,6309,84,10,3,25,31500,ACCOUNT_HISTORY
XIAOHONGSHU,demo-xiaohongshu,KNOWLEDGE,2026-06-07 10:30,3159,3406,30,4,3,8,31500,ACCOUNT_HISTORY
XIAOHONGSHU,demo-xiaohongshu,TUTORIAL,2026-06-08 05:30,2654,3598,5,0,0,1,31500,ACCOUNT_HISTORY
XIAOHONGSHU,demo-xiaohongshu,KNOWLEDGE,2026-06-08 17:00,5100,6899,63,11,5,24,31500,ACCOUNT_HISTORY
XIAOHONGSHU,demo-xiaohongshu,NEWS,2026-06-11 17:00,6852,9030,70,5,4,16,31500,ACCOUNT_HISTORY
XIAOHONGSHU,demo-xiaohongshu,NEWS,2026-06-14 15:00,4405,4893,35,4,1,9,31500,ACCOUNT_HISTORY
XIAOHONGSHU,demo-xiaohongshu,NEWS,2026-06-16 16:00,9475,11042,176,31,9,34,31500,ACCOUNT_HISTORY
XIAOHONGSHU,demo-xiaohongshu,TUTORIAL,2026-06-17 02:30,2422,2818,8,1,0,1,31500,ACCOUNT_HISTORY
XIAOHONGSHU,demo-xiaohongshu,LIFESTYLE,2026-06-17 15:30,6082,6768,64,9,3,25,31500,ACCOUNT_HISTORY
XIAOHONGSHU,demo-xiaohongshu,KNOWLEDGE,2026-06-17 19:00,12156,16742,256,28,28,55,31500,ACCOUNT_HISTORY
XIAOHONGSHU,demo-xiaohongshu,NEWS,2026-06-25 09:30,9189,10310,100,13,11,21,31500,ACCOUNT_HISTORY
XIAOHONGSHU,demo-xiaohongshu,KNOWLEDGE,2026-06-27 12:00,8513,11051,111,11,14,47,31500,ACCOUNT_HISTORY
XIAOHONGSHU,demo-xiaohongshu,NEWS,2026-06-27 16:30,3064,3775,39,6,3,8,31500,ACCOUNT_HISTORY
XIAOHONGSHU,demo-xiaohongshu,KNOWLEDGE,2026-06-28 20:00,8042,10831,108,14,11,40,31500,ACCOUNT_HISTORY
XIAOHONGSHU,demo-xiaohongshu,LIFESTYLE,2026-06-29 10:30,3790,5274,53,4,4,16,31500,ACCOUNT_HISTORY
XIAOHONGSHU,demo-xiaohongshu,LIFESTYLE,2026-07-01 09:00,4038,5089,75,7,9,17,31500,ACCOUNT_HISTORY
XIAOHONGSHU,demo-xiaohongshu,OPINION,2026-07-04 15:00,3865,5301,23,2,1,6,31500,ACCOUNT_HISTORY
XIAOHONGSHU,demo-xiaohongshu,TUTORIAL,2026-07-04 17:00,3862,5287,40,6,2,9,31500,ACCOUNT_HISTORY
XIAOHONGSHU,demo-xiaohongshu,TUTORIAL,2026-07-08 17:30,5732,6673,59,7,4,8,31500,ACCOUNT_HISTORY
XIAOHONGSHU,demo-xiaohongshu,OPINION,2026-07-09 17:30,5996,6771,66,5,7,28,31500,ACCOUNT_HISTORY
XIAOHONGSHU,demo-xiaohongshu,NEWS,2026-07-11 09:00,3368,4310,35,4,4,11,31500,ACCOUNT_HISTORY
XIAOHONGSHU,demo-xiaohongshu,KNOWLEDGE,2026-07-11 23:30,5471,7529,74,4,7,30,31500,ACCOUNT_HISTORY
XIAOHONGSHU,demo-xiaohongshu,TUTORIAL,2026-07-14 15:00,6972,8150,64,9,8,24,31500,ACCOUNT_HISTORY
XIAOHONGSHU,demo-xiaohongshu,LIFESTYLE,2026-07-16 14:30,8767,11857,83,5,8,22,31500,ACCOUNT_HISTORY
XIAOHONGSHU,demo-xiaohongshu,TUTORIAL,2026-07-17 15:30,5166,6821,40,6,3,7,31500,ACCOUNT_HISTORY
XIAOHONGSHU,demo-xiaohongshu,KNOWLEDGE,2026-07-19 17:00,2914,3062,22,2,1,7,31500,ACCOUNT_HISTORY
XIAOHONGSHU,demo-xiaohongshu,OPINION,2026-07-21 19:00,17282,22353,384,45,25,118,31500,ACCOUNT_HISTORY
XIAOHONGSHU,demo-xiaohongshu,OPINION,2026-07-23 19:00,15319,17185,264,33,22,75,31500,ACCOUNT_HISTORY
XIAOHONGSHU,demo-xiaohongshu,KNOWLEDGE,2026-07-24 22:30,9784,11701,212,35,27,56,31500,ACCOUNT_HISTORY
XIAOHONGSHU,demo-xiaohongshu,OPINION,2026-07-25 16:00,3696,4938,23,4,2,5,31500,ACCOUNT_HISTORY
XIAOHONGSHU,demo-xiaohongshu,TUTORIAL,2026-07-30 02:30,1387,1898,4,0,0,1,31500,ACCOUNT_HISTORY
XIAOHONGSHU,demo-xiaohongshu,LIFESTYLE,2026-07-30 19:00,16378,22347,368,36,21,75,31500,ACCOUNT_HISTORY
XIAOHONGSHU,demo-xiaohongshu,TUTORIAL,2026-08-01 14:30,3203,3371,28,2,3,9,31500,ACCOUNT_HISTORY
XIAOHONGSHU,demo-xiaohongshu,TUTORIAL,2026-08-01 22:30,9937,12726,147,18,18,32,31500,ACCOUNT_HISTORY
